epoch,train loss,reg loss,train acc,test loss,test acc
0,4.308834427762824,0.0,tensor(6.1733),3.7271257042884827,tensor(12.5100)
1,3.9237951457957783,0.0,tensor(12.1113),3.293126735687256,tensor(20.1500)
2,3.615824060976658,0.0,tensor(18.0912),3.012512629032135,tensor(25.3800)
3,3.3784720976944165,0.0,tensor(23.3647),2.6023411178588867,tensor(33.5800)
4,3.2179331401424944,0.0,tensor(27.2199),2.300944197177887,tensor(40.2600)
5,3.054543972320264,0.0,tensor(31.4944),2.262724508047104,tensor(42.1100)
6,2.936744884761703,0.0,tensor(34.1905),1.9430452811717986,tensor(48.1200)
7,2.7954131913611957,0.0,tensor(37.6326),2.019529016017914,tensor(47.9800)
8,2.727506665622487,0.0,tensor(39.3862),1.9063102424144744,tensor(51.1600)
9,2.642940376420765,0.0,tensor(41.2595),1.8163631558418274,tensor(53.2100)
10,2.6433931936693313,0.0,tensor(41.4445),1.6213119077682494,tensor(56.8700)
11,2.5694045050979577,0.0,tensor(43.4922),1.6957805156707764,tensor(56.)
12,2.556577090717033,0.0,tensor(44.0469),1.5709895777702332,tensor(59.7200)
13,2.4107317714130176,0.0,tensor(47.2386),1.521300847530365,tensor(60.6100)
14,2.463500201244793,0.0,tensor(45.9447),1.5981376695632934,tensor(58.3400)
15,2.419232363895992,0.0,tensor(47.1306),1.552567905187607,tensor(61.1400)
16,2.4167960354739138,0.0,tensor(47.4368),1.4567366969585418,tensor(61.2000)
17,2.407998063680156,0.0,tensor(47.9292),1.416472242474556,tensor(63.6600)
18,2.348706238867377,0.0,tensor(48.9307),1.5024508810043335,tensor(60.6900)
19,2.3000072740837743,0.0,tensor(50.2116),1.5049527871608734,tensor(61.7500)
20,2.2780864369838745,0.0,tensor(50.8635),1.384837087392807,tensor(64.3800)
21,2.320954482726124,0.0,tensor(49.7665),1.3754920160770416,tensor(64.4700)
22,2.214051131854582,0.0,tensor(52.5434),1.371122158765793,tensor(65.0500)
