epoch,train loss,reg loss,train acc,test loss,test acc
0,4.815853905387041,0.0,tensor(24.3811),3.4333191238916836,tensor(26.2899)
1,1.5903379321098328,0.0,tensor(30.4364),1.2459469804396996,tensor(48.4030)
2,1.435019857999755,0.0,tensor(37.3305),1.2658598193755517,tensor(55.2826)
3,1.2459930544946252,0.0,tensor(47.9658),0.708700723372973,tensor(67.5676)
4,1.2190535439223777,0.0,tensor(50.0988),1.255393624305725,tensor(43.2432)
5,1.1594301767465545,0.0,tensor(54.4339),0.6866229451619662,tensor(73.2187)
6,1.139015183579631,0.0,tensor(56.2509),0.6178010083161868,tensor(72.4816)
7,1.0523545505796992,0.0,tensor(62.1581),0.5438008021849853,tensor(78.8698)
8,1.0303756449280717,0.0,tensor(61.6194),0.8272387918371421,tensor(65.6020)
9,1.0275510502297704,0.0,tensor(62.4053),0.9676595066602414,tensor(46.4373)
10,1.0687349689442938,0.0,tensor(59.6422),0.7688301985080426,tensor(64.8649)
11,0.9377438229758565,0.0,tensor(66.1804),0.3800271227955818,tensor(85.2580)
12,0.8783737428304625,0.0,tensor(69.8538),0.3439878993309461,tensor(88.2064)
13,0.9615929591946486,0.0,tensor(64.4484),0.3860696508334233,tensor(87.7150)
14,0.9217815624504555,0.0,tensor(66.6215),0.38121362718252033,tensor(82.8010)
15,0.9444378294595858,0.0,tensor(65.9886),0.37975021795584607,tensor(87.4693)
16,0.9692116903095711,0.0,tensor(63.8013),0.379232096270873,tensor(86.7322)
17,0.9212432238386898,0.0,tensor(66.4283),0.35097600519657135,tensor(87.7150)
18,0.8827609052745308,0.0,tensor(68.4094),0.32788758610303587,tensor(88.4521)
19,0.9021893543441121,0.0,tensor(68.0514),0.3981148417179401,tensor(87.7150)
20,0.910552318503217,0.0,tensor(66.7399),0.33509393494862777,tensor(86.2408)
21,0.8683349239390071,0.0,tensor(68.7245),0.3441562262865213,tensor(87.7150)
22,0.8858270405269251,0.0,tensor(69.6133),0.34200407621952206,tensor(86.9779)
23,0.8681980026204411,0.0,tensor(69.5166),0.3505580327831782,tensor(87.9607)
24,0.9270013294568876,0.0,tensor(66.6326),0.35819385372675383,tensor(87.4693)
25,0.8960580015327873,0.0,tensor(67.9514),0.34876351860853344,tensor(87.7150)
26,0.871116916217455,0.0,tensor(68.9448),0.3300587511979617,tensor(87.9607)
27,0.886049747830484,0.0,tensor(68.2668),0.34081876650452614,tensor(87.9607)
28,0.8745425714225303,0.0,tensor(70.0385),0.33264107343096,tensor(87.4693)
29,0.9132988213039026,0.0,tensor(67.6318),0.3424155224974339,tensor(87.4693)
30,0.8754859486731087,0.0,tensor(67.5358),0.3409263620582911,tensor(87.9607)
